iters,vs_random,vs_heuristic,infosets,time_s
200,0.49185,-4.860775,13623,9.69826626777649
500,0.81235,-5.099,34290,10.287368059158325
1000,1.214375,-5.118275000000001,68806,10.262397050857544
2000,1.1995749999999998,-5.05185,133399,11.757163047790527
5000,1.159225,-5.13115,304908,13.290716171264648
10000,1.546175,-5.0782,553744,15.65549087524414
20000,1.791875,-5.097424999999999,1042922,20.143208980560303
50000,2.1479749999999997,-5.329549999999999,2409642,53.71621012687683
100000,2.4898,-5.267225,4194727,86.75814819335938
200000,2.44695,-4.9577,6958192,248.48158192634583
300000,2.3112,-4.735049999999999,9323302,738.8296730518341
400000,2.252275,-4.6819500000000005,11744666,707.901082277298
500000,2.24755,-4.3729,13843866,786.6506388187408
750000,2.2849250000000003,-4.137225,17683721,3799.7744081020355
1000000,2.265675,-4.142825,20333076,4368.557335853577
